193,Tamiya,Tamiya 86513 AS13,AS13,163126,Green,Spray can,Matt
194,Tamiya,Tamiya 86514 AS14,AS14,335016,Olive Green,Spray can,Matt
195,Tamiya,Tamiya 86514 AS14,AS14,335016,Olive Green,Spray can,Matt
196,Tamiya,Tamiya 86515 AS15,AS15,A58355,Tan,Spray can,Matt
198,Tamiya,Tamiya 86516 AS16,AS16,CCD4BC,Light Gray,Spray can,Matt
200,Tamiya,Tamiya 86517 AS17,AS17,184316,Dark Green (IJA),Spray can,Matt
202,Tamiya,Tamiya 86518 AS18,AS18,A1B8A8,Light Gray (IJA),Spray can,Matt
204,Tamiya,Tamiya 86519 AS19,AS19,5C8E99,Intermediate Blue (U.S. Navy),Spray can,Matt
206,Tamiya,Tamiya 86520 AS20,AS20,F2F3E5,Insignia White (U.S. Navy),Spray can,Matt
208,Tamiya,Tamiya 86521 AS21,AS21,002C11,Dark Green 2 (IJN),Spray can,Matt
210,Tamiya,Tamiya 86522 AS22,AS22,684B2B,Dark Earth,Spray can,Matt
212,Tamiya,Tamiya 86523 AS23,AS23,337020,Light Green (Luftwaffe),Spray can,Matt
214,Tamiya,Tamiya 86524 AS24,AS24,18280D,Dark Green (Luftwaffe),Spray can,Matt
216,Tamiya,Tamiya 86525 AS25,AS25,6C898D,Dark Ghost Grey,Spray can,Matt
218,Tamiya,Tamiya 86526 AS26,AS26,84A0A3,Light Ghost Grey,Spray can,Matt
220,Tamiya,Tamiya 86527 AS27,AS27,3D4E58,Gunship Gray 2,Spray can,Matt
222,Tamiya,Tamiya 86528 AS28,AS28,727E7E,Medium Gray,Spray can,Matt
224,Tamiya,Tamiya 86529 AS29,AS29,B9C3A7,Gray Green (IJN),Spray can,Matt
226,Vallejo,Vallejo 70.400 #199,#199,000000,Plastic putty,Acrylic,
227,Vallejo,Vallejo 70.470 #190,#190,000000,Glossy medium,Acrylic,Gloss
228,Vallejo,Vallejo 70.510 #193,#193,000000,Gloss varnish,Acrylic,Gloss
229,Vallejo,Vallejo 70.520 #192,#192,000000,Matt varnish,Acrylic,Matt
230,Vallejo,Vallejo 70.521 #191,#191,000000,Metal medium,Acrylic,Metallic
231,Vallejo,Vallejo 70.522 #194,#194,000000,Satin varnish,Acrylic,Satin
232,Vallejo,Vallejo 70.523 #197,#197,000000,Liquid mask,Acrylic,
233,Vallejo,Vallejo 70.540 #189,#189,000000,Matt medium,Acrylic,Matt
234,Vallejo,Vallejo 70.596 #195,#195,000000,Glaze medium,Acrylic,
235,Vallejo,Vallejo 70.597 #196,#196,000000,Drying retarder,Acrylic,
236,Vallejo,Vallejo 70.598 #198,#198,000000,Crackel medium,Acrylic,
